Codigo producto,Codigo Fabricante,Mes,Ventas Mensuales
1,3,6,125
74,10,7,184
35,3,9,158
1,12,4,179
6,11,8,27
26,2,7,51
214,11,8,70
26,12,11,83
35,2,4,58
35,5,12,6
43,3,2,157
214,6,9,121
1,9,10,8
43,3,1,135
128,9,1,168
74,10,9,156
1,9,10,107
22,1,12,199
35,10,8,178
35,3,11,49
35,6,2,180
74,8,8,77
43,5,3,90
43,11,6,64
35,7,9,32
214,6,10,127
1,2,1,58
26,4,10,55
43,1,4,33
26,5,10,139
43,12,9,57
43,1,8,15
1,12,12,63
43,8,4,121
214,1,5,25
214,9,11,144
74,2,8,98
43,1,6,93
26,12,6,114
4692,12,7,68
26,2,8,107
4692,6,1,185
35,2,4,83
74,9,1,82
6,12,4,186
35,8,2,43
6,11,1,10
22,4,2,115
6,6,5,47
128,1,9,151
4692,7,7,114
4692,2,8,186
26,6,12,111
214,2,4,74
43,9,9,112
35,8,4,78
43,6,3,112
35,8,3,12
1,8,1,67
128,7,5,33
74,7,4,1
1,8,9,37
214,5,5,165
128,1,7,152
6,7,3,160
35,2,7,1
4692,5,12,17
43,9,6,161
1,3,8,139
128,3,8,100
6,7,7,107
214,12,3,30
35,12,5,35
128,8,3,32
26,4,7,120
6,3,9,12
35,12,8,67
4692,3,2,184
214,5,10,12
214,2,4,183
35,11,2,11
35,12,4,35
22,10,11,95
1,4,12,140
22,12,1,53
214,9,11,82
35,1,12,47
26,7,3,116
1,6,11,138
74,2,6,26
74,1,1,14
1,2,9,178
214,4,4,88
22,11,11,139
74,3,6,171
128,7,1,90
43,4,5,109
1,10,9,58
6,1,9,140
128,12,10,24
