id_hospital,direccion,mes,promedio_nacimientos_mensual
0,Av. del Maestro 913,8 ,11
1,Av. del Maestro 913,11 ,19
2,Av. del Maestro 913,4 ,23
3,Av. del Maestro 913,1 ,24
4,Av. del Maestro 913,6 ,20
5,Av. del Maestro 913,2 ,24
6,Av. del Maestro 913,5 ,19
7,Av. del Maestro 913,9 ,18
8,Av. del Maestro 913,2 ,25
9,Av. del Maestro 913,3 ,12
10,Av. del Maestro 913,2 ,16
11,Av. del Maestro 913,8 ,11
12,Av. del Maestro 913,3 ,18
13,Av. del Maestro 913,7 ,24
14,Av. del Maestro 913,12 ,18
15,Av. del Maestro 913,6 ,10
16,Av. del Maestro 913,12 ,11
17,Av. del Maestro 913,10 ,10
18,Av. del Maestro 913,9 ,11
19,Av. del Maestro 913,1 ,15
20,Av. del Maestro 913,5 ,19
21,Av. del Maestro 913,11 ,13
22,Av. del Maestro 913,11 ,11
23,Av. del Maestro 913,9 ,12
24,Av. del Maestro 913,10 ,20
25,Av. del Maestro 913,9 ,14
26,Av. del Maestro 913,5 ,13
27,Av. del Maestro 913,3 ,21
28,Av. del Maestro 913,3 ,10
29,Av. del Maestro 913,12 ,15
30,Av. del Maestro 913,4 ,15
31,Av. del Maestro 913,12 ,21
32,Av. del Maestro 913,5 ,10
33,Av. del Maestro 913,10 ,23
34,Av. del Maestro 913,2 ,13
35,Av. del Maestro 913,3 ,24
36,Av. del Maestro 913,3 ,22
37,Av. del Maestro 913,10 ,24
38,Av. del Maestro 913,3 ,19
39,Av. del Maestro 913,9 ,11
40,Av. del Maestro 913,2 ,22
41,Av. del Maestro 913,12 ,25
42,Av. del Maestro 913,3 ,25
43,Av. del Maestro 913,7 ,10
44,Av. del Maestro 913,10 ,20
45,Av. del Maestro 913,11 ,17
46,Av. del Maestro 913,7 ,11
47,Av. del Maestro 913,3 ,11
48,Av. del Maestro 913,7 ,13
49,Av. del Maestro 913,1 ,22
50,Av. del Maestro 913,4 ,17
51,Av. del Maestro 913,2 ,11
52,Av. del Maestro 913,2 ,23
53,Av. del Maestro 913,8 ,22
54,Av. del Maestro 913,5 ,15
55,Av. del Maestro 913,3 ,24
56,Av. del Maestro 913,6 ,11
57,Av. del Maestro 913,11 ,25
58,Av. del Maestro 913,6 ,17
59,Av. del Maestro 913,11 ,17
